# The groups of orthologs are given as matrix with group per row
# and one genome per tab-separated column. Numbers refer to
# entry number as listed in the file "Map-SeqNum-id.map.
# Alternatively, use the OrthologousGroup.txt representation.
SE001_aa	SE002_aa	SE003_aa
48	0	48
29	0	29
12	0	12
49	0	49
47	0	47
40	0	40
42	0	42
36	0	36
7	0	7
31	0	31
19	0	19
2	0	2
35	0	35
45	0	45
5	0	5
10	0	10
41	0	41
30	0	30
6	0	6
9	0	9
4	0	4
16	0	16
22	0	22
28	0	28
23	0	23
21	0	21
1	0	1
25	0	25
33	0	33
14	0	14
50	0	50
34	0	34
27	0	27
3	0	3
24	0	24
44	0	44
39	0	39
17	0	17
18	0	18
20	0	20
15	0	15
38	0	38
13	0	13
32	0	32
43	0	43
37	0	37
11	0	11
46	0	46
8	0	8
26	0	26
